ano,cod_municipio,reprovacao_ef
2022,1702109,2.0
2022,1702158,7.3
2022,1702208,4.7
2022,1702307,4.0
2022,1702406,1.7
2022,1702554,6.5
2022,1702703,1.8
2022,1702901,6.1
2022,1703008,5.8
2022,1703057,1.1
2022,1703073,11.8
2022,1703107,2.3
2022,1703206,0.0
2022,1703305,0.6
2022,1703602,1.6
2022,1703701,6.4
2022,1703800,5.1
2022,1703826,1.0
2022,1703842,8.8
2022,1703867,1.4
2022,1703883,13.2
2022,1703891,9.4
2022,1703909,3.4
2022,1704105,0.8
2022,1704600,0.5
2022,1705102,6.9
2022,1705508,4.9
2022,1705557,2.2
2022,1705607,13.7
2022,1706001,8.8
2022,1706100,4.9
2022,1706258,2.8
2022,1706506,8.0
2022,1707009,5.3
2022,1707108,2.5
2022,1707207,9.1
2022,1707306,3.2
2022,1707405,10.7
2022,1707553,7.5
2022,1707652,10.2
2022,1707702,6.2
2022,1708205,2.5
2022,1708254,0.5
2022,1708304,0.7
2022,1709005,7.1
2022,1709302,3.5
2022,1709500,2.7
2022,1709807,14.0
2022,1710508,2.0
2022,1710706,2.1
2022,1710904,4.5
2022,1711100,0.9
2022,1711506,4.8
2022,1711803,14.2
2022,1711902,5.0
2022,1711951,0.7
2022,1712009,3.5
2022,1712157,1.6
2022,1712405,6.0
2022,1712454,3.4
2022,1712504,8.5
2022,1712702,8.2
2022,1712801,6.5
2022,1713205,4.8
2022,1713304,1.9
2022,1713601,4.7
2022,1713700,1.4
2022,1713809,0.9
2022,1713957,0.9
2022,1714203,1.8
2022,1714302,8.2
2022,1714880,9.3
2022,1715002,0.8
2022,1715101,1.9
2022,1715150,1.5
2022,1715259,5.6
2022,1715507,3.0
2022,1715705,6.4
2022,1715754,0.5
2022,1716109,1.2
2022,1716208,6.7
2022,1716307,11.4
2022,1716505,0.5
2022,1716604,7.6
2022,1716653,4.2
2022,1716703,2.8
2022,1717008,6.9
2022,1717206,4.3
2022,1717503,3.0
2022,1717800,6.5
2022,1717909,2.3
2022,1718006,6.1
2022,1718204,1.8
2022,1718303,10.1
2022,1718402,3.7
2022,1718451,7.3
2022,1718501,4.2
2022,1718550,7.8
2022,1718659,10.8
2022,1718709,9.6
2022,1718758,2.3
2022,1718808,10.3
2022,1718840,3.6
2022,1718865,9.8
2022,1718881,3.6
2022,1718899,0.9
2022,1718907,4.0
2022,1719004,3.3
2022,1720002,7.0
2022,1720101,4.3
2022,1720150,6.9
2022,1720200,8.6
2022,1720259,1.8
2022,1720309,5.8
2022,1720499,2.7
2022,1720655,4.3
2022,1720804,6.6
2022,1720853,9.4
2022,1720903,10.5
2022,1720937,19.9
2022,1720978,2.8
2022,1721000,0.9
2022,1721109,7.2
2022,1721208,5.2
2022,1721257,0.7
2022,1721307,3.5
2022,1722081,1.3
2022,1722107,4.8
2022,2100055,3.5
2022,2100105,6.7
2022,2100154,4.8
2022,2100204,6.0
2022,2100303,13.5
2022,2100402,4.9
2022,2100436,3.9
2022,2100477,1.7
2022,2100501,4.0
2022,2100550,9.0
2022,2100600,8.8
2022,2100709,8.5
2022,2100808,8.1
2022,2100832,5.7
2022,2100873,1.1
2022,2100907,8.8
2022,2100956,3.0
2022,2101004,4.4
2022,2101103,6.2
2022,2101202,1.4
2022,2101251,4.7
2022,2101301,3.1
2022,2101350,0.8
2022,2101400,6.3
2022,2101509,1.9
2022,2101608,5.7
2022,2101707,4.0
2022,2101731,3.0
2022,2101772,2.1
2022,2101806,10.5
2022,2101905,5.0
2022,2101939,0.1
2022,2101970,5.3
2022,2102002,7.8
2022,2102036,1.4
2022,2102077,1.7
2022,2102101,6.1
2022,2102150,6.3
2022,2102200,5.3
2022,2102309,1.8
