cod_municipio,obitos_cancer,pop_2021,obitos_cancer_100k
2409100,2,13474,14.843402107763099
2409407,8,30600,26.143790849673202
2410207,1,7906,12.64862130027827
2410504,1,5128,19.50078003120125
2411205,1,39988,2.50075022506752
2411502,2,24280,8.237232289950576
2412005,2,103672,1.9291612007099312
2412203,2,44236,4.521204448865178
2412401,1,4665,21.436227224008576
2412609,4,17720,22.573363431151243
2412807,2,8192,24.4140625
2413409,1,8092,12.357884330202669
2413508,2,6178,32.372936225315634
2413607,2,2088,95.78544061302682
2413706,1,5561,17.98237727027513
2414100,2,10855,18.424689083371717
2414308,1,2421,41.30524576621231
2414506,2,10520,19.011406844106464
2500775,2,8416,23.76425855513308
2500908,3,13542,22.15330084182543
2501500,2,21269,9.403356998448446
2501609,3,15497,19.358585532683744
2501807,2,97203,2.0575496641050175
2502904,2,6464,30.940594059405942
2503209,2,68767,2.9083717480768394
2503308,1,10305,9.70402717127608
2503704,7,62289,11.237939283019474
2504009,118,411807,28.654199661491912
2504157,1,7499,13.335111348179757
2506301,5,59115,8.45809016324114
2506509,2,3453,57.920648711265564
2507507,201,817511,24.58682513140496
2507705,3,18298,16.395234451852662
2508000,2,9849,20.30663011473246
2508802,2,5752,34.770514603616135
2509206,2,13998,14.287755393627661
2509701,3,33433,8.973170221039092
2510808,6,108192,5.545696539485359
2510907,1,12379,8.078196946441555
2511004,2,3802,52.60389268805891
2511202,2,28533,7.009427680229909
2511400,5,18720,26.70940170940171
2511608,1,6576,15.206812652068127
2512101,3,32802,9.145783793671118
2512606,1,1983,50.42864346949067
2513158,2,6541,30.576364470264487
2513406,1,15426,6.482561908466226
2513703,7,137349,5.096505981113805
2513901,1,34344,2.9117167481947357
2514206,1,7626,13.113034356150013
2515203,1,3512,28.47380410022779
2515302,2,52804,3.787591849102341
2515500,2,13754,14.541224371092046
2516201,1,69723,1.4342469486396168
2516300,1,17031,5.871645822323997
2516409,2,10969,18.23320266204759
2516508,2,15441,12.952528981283596
2516904,2,15300,13.071895424836601
2600104,5,37404,13.367554272270345
