cod_municipio,obitos_circulatorio,pop_2021,obitos_circulatorio_100k
1718402,11,3676,299.23830250272033
1718451,3,2717,110.4158998895841
1718501,19,4342,437.5863657300783
1718550,10,4684,213.4927412467976
1718659,2,2171,92.12344541685859
1718709,1,2856,35.0140056022409
1718758,17,6488,262.02219482120836
1718808,5,4794,104.29703796412181
1718840,14,3373,415.0607767565965
1718865,17,7595,223.8314680710994
1718881,6,3486,172.1170395869191
1718899,4,2386,167.64459346186086
1718907,8,4846,165.0846058605035
1719004,4,2897,138.0738695201933
1720002,7,2530,276.6798418972332
1720101,17,5391,315.3403821183454
1720200,19,12294,154.54693346347813
1720259,7,3094,226.2443438914027
1720309,21,4852,432.81121187139325
1720499,7,3904,179.30327868852459
1720655,21,5428,386.8828297715549
1720804,24,8997,266.755585195065
1720853,6,1986,302.11480362537765
1720903,43,16825,255.57206537890045
1720937,7,2166,323.1763619575254
1720978,2,2812,71.12375533428165
1721000,1292,306296,421.814192806958
1721109,6,7617,78.77116975187081
1721208,85,22845,372.07266360253885
1721257,5,1922,260.1456815816857
1721307,11,2729,403.0780505679736
1722081,20,11734,170.44486108743823
1722107,98,11520,850.6944444444445
2100055,413,113121,365.0957823923056
2100105,4,6578,60.808756460930375
2100154,14,12652,110.65444198545684
2100204,41,22112,185.41968162083936
2100303,14,26757,52.32275666180813
2100402,17,8189,207.59555501282208
2100436,89,27858,319.4773494148898
2100477,102,31943,319.318786588611
2100501,34,11212,303.2465215840171
2100550,8,7005,114.20413990007138
2100600,119,41729,285.1733806225886
2100709,82,26988,303.83874314510155
2100808,32,15894,201.333836667925
2100832,43,17413,246.9419399299374
2100873,24,15551,154.33091119542152
2100907,107,46771,228.77424044814094
2100956,55,32764,167.8671712855573
2101004,94,29932,314.0451690498463
2101103,48,12183,393.9916276779118
2101202,615,104790,586.8880618379617
2101251,39,17252,226.06074658010667
2101301,75,18654,402.0585397233837
2101350,16,5670,282.18694885361555
2101400,374,95929,389.8716759269877
2101509,66,18924,348.76347495244136
2101608,320,88492,361.6146092302129
2101707,207,63217,327.4435673948463
2101731,10,7528,132.8374070138151
2101772,39,11279,345.7753346927919
2101806,10,5638,177.367860943597
2101905,62,21299,291.09347856706887
2101939,8,6073,131.73061090070806
2101970,15,8382,178.9549033643522
