cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
3144656,2021,476,10326,46.09723029246562
3144672,2021,212,3128,67.77493606138107
3144706,2021,1828,17551,104.15360948094126
3144805,2021,30483,96157,317.01280198009505
3144904,2021,252,3573,70.52896725440806
3145000,2021,3319,15800,210.0632911392405
3145059,2021,711,7497,94.83793517406963
3145109,2021,1351,16832,80.26378326996198
3145208,2021,20838,105520,197.47915087187263
3145307,2021,1194,31335,38.10435615126855
3145356,2021,462,10778,42.865095565039894
3145372,2021,399,5324,74.94365138993238
3145406,2021,234,1720,136.04651162790697
3145455,2021,497,6171,80.53800032409659
3145505,2021,194,2809,69.06372374510502
3145604,2021,5990,41840,143.1644359464627
3145703,2021,113,2130,53.051643192488264
3145802,2021,268,3152,85.0253807106599
3145851,2021,294,4663,63.04953892343985
3145877,2021,416,8079,51.491521227874735
3145901,2021,6727,39867,168.73604735746358
3146008,2021,3920,33791,116.00722085762482
3146107,2021,10495,74558,140.7628960004292
3146206,2021,261,5914,44.13256679066622
3146255,2021,370,6423,57.60548030515336
3146305,2021,1380,20252,68.14141813154257
3146404,2021,320,4462,71.71671896010757
3146503,2021,1138,8296,137.1745419479267
3146552,2021,361,6094,59.23859533967837
3146602,2021,138,1523,90.61063690085358
3146701,2021,422,6611,63.83300559673272
3146750,2021,294,5349,54.96354458777341
3146909,2021,1558,15800,98.60759493670886
3147006,2021,16563,93862,176.46118770109308
3147105,2021,19154,94808,202.02936461058138
3147204,2021,3805,21605,176.11663966674382
3147303,2021,3010,21221,141.8406295650535
3147402,2021,4047,24700,163.84615384615384
3147501,2021,126,1633,77.1586037966932
3147600,2021,1670,16393,101.87275056426523
3147709,2021,790,8057,98.05138388978528
3147808,2021,169,2031,83.21024126046282
3147907,2021,15039,115337,130.39180835291364
3147956,2021,262,6002,43.65211596134622
3148004,2021,30015,153585,195.42924113682977
3148103,2021,15557,91449,170.11667705497052
3148202,2021,359,5715,62.817147856517934
3148301,2021,431,9584,44.97078464106845
3148400,2021,308,4812,64.00665004156276
3148509,2021,361,8419,42.879201805440076
3148608,2021,921,17537,52.51753435593317
3148707,2021,1715,24329,70.49200542562374
3148756,2021,342,7128,47.97979797979798
3148806,2021,258,3005,85.85690515806988
3148905,2021,479,3974,120.53346753900352
3149002,2021,253,2532,99.92101105845181
3149101,2021,742,11146,66.57096716310784
3149150,2021,433,12212,35.456927612184735
3149200,2021,437,3643,119.95608015371945
3149309,2021,8160,64712,126.0971689949314
3149408,2021,182,1806,100.7751937984496
3149507,2021,471,3330,141.44144144144144
3149606,2021,312,4432,70.3971119133574
3149705,2021,1796,11755,152.78604849000425
3149804,2021,2252,16321,137.98174131487042
3149903,2021,2697,21485,125.52943914358855
3149952,2021,657,6773,97.00280525616418
3150000,2021,303,4256,71.19360902255639
