cod_municipio,ano,n_ensino_superior,pop_2021,n_ensino_superior_por_1k_hab
3510401,2021,2707,56379,48.014331577360366
3510500,2021,5542,123389,44.914862751136646
3510609,2021,6817,403183,16.907954948497334
3510708,2021,321,12349,25.994007611952384
3510807,2021,1268,30520,41.54652686762778
3510906,2021,103,2505,41.11776447105788
3511003,2021,634,21267,29.811444961677715
3511102,2021,9621,122497,78.5406989558928
3511201,2021,189,7855,24.061107574793127
3511300,2021,1756,9346,187.88786646693774
3511409,2021,899,20191,44.524788272002375
3511508,2021,2594,49802,52.086261595919844
3511607,2021,1235,18375,67.21088435374149
3511706,2021,519,17367,29.88426325790292
3511904,2021,377,8757,43.051273267100605
3512001,2021,1175,18535,63.39357971405449
3512100,2021,400,6216,64.35006435006434
3512209,2021,913,28273,32.292293000389066
3512308,2021,419,18019,23.253232698817914
3512407,2021,1958,24826,78.86892773704987
3512506,2021,196,6129,31.97911567955621
3512605,2021,132,4635,28.478964401294498
3512704,2021,174,4064,42.81496062992126
3512803,2021,2444,73474,33.263467348994205
3512902,2021,315,7298,43.16251027678816
3513009,2021,20339,253608,80.19857417747075
3513108,2021,2634,35579,74.03243486326204
3513207,2021,330,8718,37.85271851342051
3513306,2021,130,2046,63.5386119257087
3513405,2021,4350,82571,52.68193433529932
3513504,2021,7418,131626,56.356646863081764
3513603,2021,449,21459,20.92362179039098
3513702,2021,1903,33910,56.11913889708051
3513801,2021,18483,426757,43.310361634372725
3513850,2021,95,1799,52.8071150639244
3513900,2021,552,11086,49.79253112033195
3514007,2021,183,9010,20.310765815760266
3514106,2021,970,27512,35.25734225065426
3514205,2021,65,2112,30.776515151515152
3514304,2021,467,8878,52.60193737328227
3514403,2021,2876,47043,61.13555683098442
3514502,2021,357,12433,28.713906539049304
3514601,2021,422,10023,42.10316272573082
3514700,2021,265,6064,43.70052770448549
3514809,2021,338,15544,21.744724652599075
3514908,2021,704,17936,39.250669045495094
3514924,2021,84,3697,22.72112523667839
3514957,2021,86,2449,35.11637403021641
3515004,2021,10731,276535,38.805214529806356
3515103,2021,1864,69901,26.66628517474714
3515129,2021,108,3227,33.467616981716766
3515152,2021,1445,21249,68.00320015059532
3515186,2021,2231,44471,50.16752490386994
3515194,2021,141,4878,28.905289052890527
3515202,2021,600,8419,71.26737142178406
3515301,2021,90,2770,32.49097472924188
3515350,2021,177,9325,18.98123324396783
3515400,2021,545,16070,33.91412570006223
3515509,2021,4350,69402,62.678308982450076
3515608,2021,213,5794,36.76216775975147
3515657,2021,56,1727,32.42617255356109
3515707,2021,3520,196500,17.91348600508906
3515806,2021,84,1430,58.74125874125874
3515905,2021,85,2900,29.310344827586206
3516002,2021,224,14790,15.145368492224476
3516101,2021,100,2653,37.69317753486619
3516200,2021,19362,355901,54.402769309442796
3516309,2021,2681,177633,15.092916293706688
3516408,2021,4423,156492,28.263425606420775
3516507,2021,125,2776,45.028818443804035
3516606,2021,207,6482,31.934588090095648
3516705,2021,3476,44409,78.27242225674976
3516804,2021,75,4860,15.432098765432098
3516853,2021,1360,4815,282.4506749740395
3516903,2021,480,10862,44.19075676670963
3517000,2021,180,11447,15.724644011531405
3517109,2021,149,4829,30.855249534065024
3517208,2021,383,12294,31.153408166585326
3517307,2021,141,5785,24.373379429559204
3517406,2021,1900,41040,46.2962962962963
3517505,2021,996,21775,45.74052812858783
3517604,2021,75,17025,4.405286343612334
3517703,2021,769,21308,36.089731556223015
3517802,2021,242,8290,29.191797346200243
3517901,2021,520,11287,46.07070080623726
3518008,2021,77,1998,38.53853853853854
3518107,2021,121,6675,18.127340823970037
3518206,2021,1359,33100,41.05740181268882
3518305,2021,1847,30136,61.28882399787629
3518404,2021,7166,122505,58.49557160932207
3518503,2021,241,18887,12.7600995393657
3518602,2021,1445,40487,35.690468545459034
3518701,2021,10485,322750,32.4864446165763
3518800,2021,76760,1392121,55.13888519747924
3518859,2021,323,7709,41.899078998573096
3518909,2021,115,5307,21.669493122291314
3519006,2021,227,9588,23.675427617855654
3519055,2021,1825,15272,119.49973808276584
3519071,2021,19619,234259,83.74918359593441
3519105,2021,456,11858,38.45505144206443
3519204,2021,158,6295,25.099285146942016
3519253,2021,457,9517,48.01933382368394
3519303,2021,1039,35472,29.290708164185837
3519402,2021,417,12518,33.31203067582681
3519501,2021,229,7841,29.205458487437827
3519600,2021,1633,60600,26.94719471947195
3519709,2021,2459,79479,30.93899017350495
3519808,2021,199,8304,23.964354527938344
3519907,2021,240,8194,29.289724188430558
3520004,2021,555,24749,22.425148490848116
3520103,2021,1049,30614,34.265368785522966
3520202,2021,364,9583,37.983929875821765
3520301,2021,739,30989,23.8471715770112
3520400,2021,2195,35591,61.67289483296339
3520426,2021,490,11362,43.1262101742651
3520442,2021,1376,26788,51.3662834104823
3520509,2021,21738,256223,84.84015876794824
3520608,2021,141,4879,28.89936462389834
3520707,2021,201,3886,51.724137931034484
3520806,2021,163,4019,40.55735257526748
3520905,2021,674,15069,44.72758643572898
3521002,2021,1565,37964,41.22326414497945
3521101,2021,458,7687,59.58111096656693
3521150,2021,155,5476,28.305332359386412
3521200,2021,133,4199,31.67420814479638
3521309,2021,520,16604,31.317754757889666
3521408,2021,1168,24614,47.45266921264321
3521507,2021,163,8048,20.25347912524851
3521606,2021,205,8325,24.624624624624623
3521705,2021,367,17480,20.9954233409611
3521804,2021,774,27382,28.266744576729238
3521903,2021,760,15297,49.68294436817677
3522000,2021,125,3887,32.15847697453049
3522109,2021,3344,103102,32.433900409303405
3522158,2021,55,3330,16.516516516516518
3522208,2021,5118,177662,28.80751089146807
3522307,2021,6314,165526,38.14506482365308
3522406,2021,3774,94804,39.808446900974644
3522505,2021,12138,240961,50.373296923568546
3522604,2021,5030,75234,66.85806948985831
3522653,2021,73,4268,17.10402999062793
3522703,2021,1707,43331,39.39442893078858
3522802,2021,392,15173,25.83536545178936
3522901,2021,513,14147,36.26210503993779
3523008,2021,105,4951,21.207836800646334
3523107,2021,9099,375011,24.263288276877212
3523206,2021,1728,50642,34.12187512341535
3523305,2021,371,17598,21.081941129673826
3523404,2021,8279,122581,67.53901501864074
3523503,2021,506,20921,24.186224367860046
3523602,2021,1212,18387,65.9161364007179
3523701,2021,132,6543,20.174232003668042
3523800,2021,160,7852,20.376974019358126
3523909,2021,13728,175568,78.19192563565115
3524006,2021,6702,62813,106.6976581280945
3524105,2021,1941,42045,46.16482340349626
3524204,2021,223,6946,32.10480852289087
3524303,2021,5156,77652,66.3988049245351
3524402,2021,14087,235416,59.8387535256737
3524501,2021,483,7196,67.12062256809338
3524600,2021,393,17889,21.968807647157472
3524709,2021,14484,58722,246.65372432819046
3524808,2021,2958,49201,60.12072925347046
3524907,2021,594,6717,88.4323358642251
3525003,2021,5489,126356,43.44075469308937
3525102,2021,1670,44970,37.13586835668223
3525201,2021,2227,30617,72.73736812881732
3525300,2021,7986,151881,52.580638789578686
3525409,2021,148,3151,46.969216121866076
3525508,2021,178,13338,13.34532913480282
3525607,2021,130,4551,28.56515051637003
3525706,2021,1532,37366,40.99983942621635
3525805,2021,134,4800,27.916666666666668
3525854,2021,211,3418,61.73200702165009
3525904,2021,51223,423006,121.09284501874679
3526001,2021,1024,20831,49.15750564063175
3526100,2021,429,18718,22.919115290095096
3526209,2021,632,31646,19.97092839537382
3526308,2021,94,4889,19.22683575373287
3526407,2021,1351,28785,46.93416710092062
3526506,2021,143,12285,11.640211640211641
3526605,2021,198,7311,27.08247845711941
3526704,2021,4538,104346,43.48992774040212
3526803,2021,5195,68990,75.30076822727932
3526902,2021,20223,308482,65.55649924468851
3527009,2021,423,8092,52.27385071675729
3527108,2021,5097,78503,64.92745500171968
3527207,2021,5244,89125,58.83870967741935
3527256,2021,77,2300,33.47826086956522
3527306,2021,4909,49993,98.19374712459745
3527405,2021,1234,21886,56.38307593895641
3527504,2021,95,2403,39.53391593841032
3527603,2021,765,15292,50.0261574679571
3527702,2021,153,5855,26.131511528608026
3527801,2021,103,4596,22.410791993037424
3527900,2021,89,2636,33.76327769347496
3528007,2021,695,17214,40.37411409317997
3528106,2021,576,8147,70.70087148643672
3528205,2021,114,3692,30.87757313109426
3528304,2021,120,3102,38.684719535783366
3528403,2021,2194,47441,46.24691722349866
